"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"20.0","21.0","69.0","28.0","1","1","1","315.0","-85.0","8673.0","11.0","10.0","247.0","285.0","-35.0","-719.0","90","0"
"14.0","24.0","22.0","35.0","1","1","1","175.0","-181.0","8454.0","8.0","46.0","272.0","285.0","-35.0","-711.0","90","0"
"7.0","19.0","15.0","40.0","1","1","1","212.0","-183.0","8606.0","-12.0","-29.0","315.0","289.0","-39.0","-709.0","90","0"
"7.0","18.0","63.0","46.0","1","1","1","205.0","-165.0","8579.0","-14.0","14.0","11.0","301.0","-43.0","-715.0","90","1"
"5.0","48.0","65.0","43.0","1","1","1","391.0","-159.0","8615.0","10.0","-13.0","-51.0","294.0","-42.0","-712.0","90","1"
"10.0","20.0","16.0","38.0","1","1","1","295.0","-37.0","8523.0","-20.0","41.0","-215.0","299.0","-43.0","-705.0","90","1"
"16.0","21.0","66.0","34.0","1","1","1","202.0","-315.0","8557.0","-34.0","-43.0","-169.0","288.0","-42.0","-708.0","90","1"
"21.0","20.0","28.0","27.0","1","1","1","223.0","-96.0","8564.0","-20.0","50.0","-65.0","298.0","-40.0","-712.0","90","1"
"27.0","21.0","33.0","22.0","1","1","1","248.0","-236.0","8556.0","11.0","-84.0","-151.0","279.0","-29.0","-713.0","90","1"
"33.0","43.0","76.0","16.0","1","1","1","271.0","-232.0","8588.0","-58.0","2.0","-185.0","285.0","-31.0","-719.0","90","1"
"39.0","74.0","73.0","11.0","1","1","1","184.0","-213.0","8536.0","-11.0","24.0","-132.0","276.0","-30.0","-716.0","90","1"
"46.0","33.0","41.0","4.0","1","1","1","407.0","-160.0","8580.0","-15.0","65.0","32.0","269.0","-39.0","-729.0","90","2"
"62.0","46.0","32.0","7.0","1","1","1","445.0","-100.0","8606.0","-149.0","59.0","-3609.0","215.0","-39.0","-707.0","90","2"
"36.0","50.0","32.0","15.0","1","1","1","481.0","-281.0","8544.0","-162.0","35.0","-4201.0","151.0","-87.0","-709.0","90","2"
"36.0","63.0","96.0","12.0","1","1","1","158.0","-109.0","8586.0","-14.0","16.0","11.0","116.0","-164.0","-704.0","90","3"
"34.0","50.0","40.0","13.0","1","1","1","210.0","-402.0","8571.0","85.0","23.0","3652.0","130.0","-120.0","-702.0","90","3"
"43.0","39.0","33.0","19.0","1","1","1","217.0","-144.0","8583.0","-14.0","18.0","12.0","173.0","-63.0","-711.0","90","2"
"34.0","48.0","32.0","15.0","1","1","1","212.0","-141.0","8585.0","-16.0","16.0","9.0","129.0","-99.0","-699.0","90","0"
"32.0","47.0","30.0","17.0","1","1","1","-30.0","-118.0","8518.0","3.0","22.0","182.0","130.0","-108.0","-700.0","90","0"
"27.0","44.0","25.0","22.0","1","1","1","114.0","-98.0","8644.0","-35.0","47.0","250.0","142.0","-102.0","-710.0","90","0"
"21.0","40.0","24.0","26.0","1","1","1","196.0","-184.0","8682.0","-14.0","-11.0","144.0","143.0","-101.0","-711.0","90","0"
"15.0","36.0","13.0","36.0","1","1","1","268.0","-107.0","8702.0","-3.0","10.0","221.0","153.0","-95.0","-703.0","90","0"
"10.0","33.0","8.0","39.0","1","1","1","126.0","-174.0","8612.0","-37.0","25.0","267.0","147.0","-89.0","-711.0","90","0"
"4.0","29.0","2971.0","24.0","1","1","1","177.0","-648.0","8634.0","82.0","-26.0","3006.0","167.0","-65.0","-701.0","90","3"
