leftUltrasonic,upperLeftUltrasonic, middleUltrasonic, upperRightUltrasonic,rightUltrasonic,L0,L1,L2,xAccel,yAccel,zAccel,xGyro,yGyro,zGyro,xMag,yMag,zMag,servoAngle,state
84,50,41,54,17,1,1,1,360,-175,8542,-32,7,180,-63,-23,-599,90,0
10,67,37,39,6,1,1,1,536,-169,8555,10,61,75,-62,30,-572,90,0
8,69,30,34,15,1,1,1,449,-175,8450,-18,73,56,-33,75,-561,90,0
84,32,25,37,14,1,1,1,507,-268,8506,-12,42,97,23,71,-567,90,0
8,33,20,27,5,1,1,1,405,-210,8523,-59,-1,222,65,23,-577,90,1
9,55,19,30,18,1,1,1,561,-397,8481,120,6,2165,96,12,-610,90,1
7,50,62,17,5,1,1,1,525,-375,8585,136,17,2731,136,-4,-626,90,1
7,74,51,19,23,1,1,1,594,-257,8539,179,-7,3667,180,0,-636,90,1
7,75,56,51,6,1,1,1,484,69,8596,194,-13,3390,245,-21,-651,90,0
53,73,72,48,24,1,1,1,245,-148,8533,-7,-48,64,229,-19,-667,90,0
7,44,68,44,24,1,1,1,366,-126,8611,-40,35,132,214,-8,-686,90,0
52,54,62,64,5,1,1,1,366,-204,8564,-14,-23,-7,195,-7,-701,90,0
8,37,62,38,23,1,1,1,481,-281,8444,6,79,77,181,-7,-705,90,0
9,38,51,31,23,1,1,1,444,-179,8672,12,21,148,173,-9,-715,90,0
9,42,45,46,23,1,1,1,476,-163,8467,8,-7,147,171,-7,-713,90,0
8,39,45,44,22,1,1,1,487,-208,8596,11,4,50,179,-13,-719,90,0
7,40,35,40,5,1,1,1,465,-207,8526,37,24,104,174,-14,-716,90,0
55,33,30,37,21,1,1,1,357,-122,8556,-34,-21,186,170,-2,-730,90,0
8,37,28,32,6,1,1,1,405,-182,8573,-27,3,185,178,-10,-730,90,0
9,37,20,30,6,1,1,1,529,-165,8567,-6,-3,131,178,-16,-720,90,1
52,53,18,15,30,1,1,1,912,-312,8457,177,32,3121,209,-31,-725,90,1
7,35,66,15,34,1,1,1,657,-128,8699,169,-17,3200,258,-64,-742,90,1
7,48,44,21,6,1,1,1,343,-455,8549,187,-29,3553,276,-100,-744,90,0
8,46,41,79,6,1,1,1,87,-283,8593,-9,-64,-6,295,-123,-735,90,0
82,39,37,76,20,1,1,1,342,-231,8533,4,36,9,294,-122,-738,90,0
7,34,32,114,18,1,1,1,433,-239,8441,29,66,17,292,-124,-742,90,0
8,32,27,67,16,1,1,1,356,-209,8321,-15,1,144,296,-116,-740,90,0
8,23,22,36,15,1,1,1,500,-288,8571,-1,-7,84,296,-120,-744,90,0
